,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
1435,초등학교,계상초교,서울특별시 노원구 한글비석로41가길 24,서울특별시 노원구 상계5동 447-1,37.6621974080,127.0686766085,노원구청,노원경찰서,Y,2,8~19,2020-07-14,3100000,서울특별시 노원구
1436,초등학교,청원초교,서울특별시 노원구 한글비석로 506,서울특별시 노원구 상계9동 641,37.6652533489,127.0625318704,노원구청,노원경찰서,Y,2,20,2020-07-14,3100000,서울특별시 노원구
1437,초등학교,상곡초교,서울특별시 노원구 노원로38길 34,서울특별시 노원구 상계10동 678,37.6629038313,127.0620765543,노원구청,노원경찰서,Y,2,20,2020-07-14,3100000,서울특별시 노원구
1438,초등학교,온곡초교,서울특별시 노원구 한글비석로52길 59,서울특별시 노원구 상계9동 638,37.6675399994,127.0659114201,노원구청,노원경찰서,Y,3,10~20,2020-07-14,3100000,서울특별시 노원구
1439,초등학교,수락초교,서울특별시 노원구 동일로 1745,서울특별시 노원구 상계1동 1171-2,37.6845019326,127.0551835669,노원구청,노원경찰서,Y,2,15.5~35,2020-07-14,3100000,서울특별시 노원구
1440,초등학교,상천초교,서울특별시 노원구 덕릉로 443,서울특별시 노원구 상계6동 768,37.646282,127.0578067585,노원구청,노원경찰서,Y,1,12,2020-07-14,3100000,서울특별시 노원구
1441,초등학교,당현초교,서울특별시 노원구 동일로213길 52,서울특별시 노원구 상계6동 742,37.6482594353,127.0582116869,노원구청,노원경찰서,Y,3,19.6~21,2020-07-14,3100000,서울특별시 노원구
1442,초등학교,상명초교,서울특별시 노원구 덕릉로 541,서울특별시 노원구 중계3동 515-1,37.6487233004,127.0669690112,노원구청,노원경찰서,Y,1,30,2020-07-14,3100000,서울특별시 노원구
1443,초등학교,청계초교,서울특별시 노원구 공릉로 431,서울특별시 노원구 중계3동 513-1,37.6450333392,127.0661408079,노원구청,노원경찰서,Y,2,12~20,2020-07-14,3100000,서울특별시 노원구
1444,초등학교,연지초교,서울특별시 노원구 월계로55길 48,서울특별시 노원구 월계동 271,37.6331907097,127.0595367659,노원구청,노원경찰서,Y,4,6~20,2020-07-14,3100000,서울특별시 노원구
