기간,자치구,동,인구,면적,인구밀도
2020,영등포구,영등포본동,23790,1.02,23324
2020,영등포구,영등포동,28749,1.26,22817
2020,영등포구,도림동,20665,0.89,23219
2020,영등포구,문래동,33399,1.49,22415
2020,동작구,소계,401572,16.35,24555
2020,동작구,노량진2동,13512,0.64,21113
2020,동작구,상도1동,46840,1.51,31020
2020,동작구,상도2동,28162,0.98,28737
2020,동작구,상도3동,25416,0.6,42360
2020,동작구,상도4동,29306,0.75,39075
2020,동작구,사당1동,23632,0.79,29914
2020,동작구,사당3동,25244,0.92,27439
2020,동작구,사당4동,14599,0.38,38418
2020,동작구,사당5동,14811,0.57,25984
2020,동작구,대방동,39172,1.55,25272
2020,동작구,신대방1동,25823,0.62,41650
2020,동작구,신대방2동,20466,1.03,19870
2020,동작구,흑석동,34544,1.68,20562
2020,동작구,노량진1동,32387,1.58,20498
2020,동작구,사당2동,27658,2.75,10057
2020,관악구,소계,509803,29.57,17241
2020,관악구,보라매동,25278,0.76,33261
2020,관악구,청림동,15711,0.3,52370
2020,관악구,행운동,29799,0.72,41388
2020,관악구,낙성대동,17579,2.27,7744
2020,관악구,중앙동,15758,0.39,40405
2020,관악구,인헌동,26500,1.08,24537
2020,관악구,남현동,18598,3.27,5687
2020,관악구,서원동,23565,0.65,36254
2020,관악구,신원동,19290,0.55,35073
2020,관악구,서림동,24410,0.99,24657
2020,관악구,신사동,25426,0.64,39728
2020,관악구,신림동,22667,0.54,41976
2020,관악구,난향동,15915,0.8,19894
2020,관악구,조원동,19232,0.67,28704
2020,관악구,대학동,24907,8.3,3001
2020,관악구,은천동,34595,0.78,44353
2020,관악구,성현동,30472,0.68,44812
2020,관악구,청룡동,36325,1.18,30784
2020,관악구,난곡동,28054,0.96,29223
2020,관악구,삼성동,23935,2.66,8998
2020,관악구,미성동,31787,1.38,23034
2020,서초구,소계,429025,46.98,9132
2020,서초구,서초1동,21187,1.42,14920
2020,서초구,서초2동,21731,1.24,17525
2020,서초구,서초3동,32307,2.93,11026
2020,서초구,서초4동,31718,0.88,36043
2020,서초구,잠원동,28532,1.76,16211
2020,서초구,반포본동,11991,1.01,11872
2020,서초구,반포1동,32630,1,32630
2020,서초구,반포2동,16240,1.35,12030
2020,서초구,반포3동,22412,1.28,17509
2020,서초구,반포4동,19977,1.43,13970
2020,서초구,방배본동,21293,0.67,31781
2020,서초구,방배1동,17381,0.7,24830
2020,서초구,방배2동,20404,1.93,10572
