시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,범죄총계(구),관광지개수,등록인구수총계(시군구명),인구밀도비율(구),예상범죄발생횟수
강원도,홍천군,내면,0.0,3485.0,3.0,0.0,229.0,0.0,1561313.0,0.002232095678445001,0.5111499103639052
강원도,화천군,화천읍,0.0,8664.0,4.0,0.0,596.0,0.0,1561313.0,0.005549175597718075,3.3073086562399725
강원도,화천군,간동면,0.0,2827.0,4.0,0.0,596.0,0.0,1561313.0,0.0018106555187845101,1.079150689195568
강원도,화천군,하남면,0.0,2875.0,5.0,0.0,596.0,0.0,1561313.0,0.0018413988738965217,1.0974737288423269
강원도,화천군,상서면,0.0,4236.0,8.0,0.0,596.0,0.0,1561313.0,0.002713101088635014,1.6170082488264683
강원도,화천군,사내면,0.0,6740.0,7.0,0.0,596.0,0.0,1561313.0,0.004316879446978281,2.5728601503990554
강원도,횡성군,횡성읍,0.0,21273.0,6.0,0.0,128.0,0.0,1561313.0,0.013625070693704593,1.744009048794188
강원도,횡성군,우천면,0.0,4703.0,3.0,0.0,128.0,0.0,1561313.0,0.003012208314412293,0.3855626642447735
강원도,횡성군,안흥면,0.0,3153.0,2.0,0.0,128.0,0.0,1561313.0,0.002019454138920255,0.25849012978179264
강원도,횡성군,둔내면,0.0,5872.0,1.0,0.0,128.0,1.0,1561313.0,0.0037609371087027393,0.48139994991395063
강원도,횡성군,갑천면,0.0,2362.0,1.0,0.0,128.0,1.0,1561313.0,0.0015128292661368988,0.19364214606552305
강원도,횡성군,청일면,0.0,2431.0,1.0,0.0,128.0,0.0,1561313.0,0.0015570228391104154,0.19929892340613317
강원도,횡성군,공근면,0.0,3626.0,2.0,0.0,128.0,0.0,1561313.0,0.002322404284086535,0.29726774836307646
강원도,횡성군,서원면,0.0,2165.0,2.0,0.0,128.0,1.0,1561313.0,0.001386653412864685,0.17749163684667968
강원도,횡성군,강림면,0.0,1755.0,1.0,0.0,128.0,0.0,1561313.0,0.0011240539212829203,0.1438789019242138
경기도,가평군,가평읍,1.0,10052.0,6.0,0.0,1584.0,0.0,32493.0,0.30935893884836735,490.0245591358139
경기도,가평군,설악면,1.0,5002.0,4.0,0.0,1584.0,0.0,32493.0,0.1539408487982027,243.84230449635305
경기도,가평군,청평면(외서면),0.0,7270.0,4.0,0.0,1584.0,1.0,32493.0,0.22374049795340534,354.40494875819405
경기도,가평군,상면,1.0,2903.0,3.0,0.0,1584.0,1.0,32493.0,0.08934231988428278,141.51823469670393
경기도,가평군,조종면,1.0,5204.0,1.0,0.0,1584.0,0.0,32493.0,0.16015757240020928,253.6895946819315
경기도,가평군,북면,1.0,2062.0,2.0,0.0,1584.0,0.0,32493.0,0.06345982211553258,100.52035823100361
광주광역시,광산구,송정1동,0.0,11615.0,2.0,0.0,3201.0,0.0,1480293.0,0.007846419593958764,25.116389120262006
광주광역시,광산구,송정2동,0.0,6870.0,3.0,0.0,3201.0,0.0,1480293.0,0.004640973104648877,14.855754907981055
광주광역시,광산구,도산동,1.0,16382.0,14.0,0.0,3201.0,0.0,1480293.0,0.011066728005874512,35.424596346804314
광주광역시,광산구,신흥동,0.0,4972.0,0.0,0.0,3201.0,0.0,1480293.0,0.003358794508924922,10.751501223068676
광주광역시,광산구,어룡동,0.0,34436.0,0.0,0.0,3201.0,0.0,1480293.0,0.023262962129794576,74.46474177747244
광주광역시,광산구,우산동,1.0,24767.0,8.0,0.0,3201.0,0.0,1480293.0,0.01673114714451801,53.55640200960215
광주광역시,광산구,월곡1동,0.0,13198.0,7.0,0.0,3201.0,0.0,1480293.0,0.008915802479644233,28.53948373734119
광주광역시,광산구,월곡2동,0.0,20417.0,8.0,0.0,3201.0,0.0,1480293.0,0.013792539720177018,44.14991964428663
광주광역시,광산구,비아동,1.0,7905.0,11.0,0.0,3201.0,0.0,1480293.0,0.005340159009061044,17.093848988004403
광주광역시,광산구,첨단1동,0.0,26073.0,0.0,0.0,3201.0,0.0,1480293.0,0.017613404913756937,56.380509128935955
광주광역시,광산구,첨단2동,0.0,44762.0,0.0,0.0,3201.0,0.0,1480293.0,0.030238608167437123,96.79378474396623
광주광역시,광산구,신가동,1.0,22049.0,18.0,0.0,3201.0,0.0,1480293.0,0.014895024160757364,47.67897233858432
광주광역시,광산구,운남동,1.0,31745.0,21.0,0.0,3201.0,0.0,1480293.0,0.02144507877832294,68.64569716941173
광주광역시,광산구,신창동,1.0,34769.0,15.0,0.0,3201.0,0.0,1480293.0,0.023487917594692403,75.18482422061038
광주광역시,광산구,수완동,0.0,79513.0,13.0,0.0,3201.0,0.0,1480293.0,0.053714366007270184,171.93968558927185
광주광역시,광산구,하남동,0.0,25118.0,4.0,0.0,3201.0,0.0,1480293.0,0.01696826236427518,54.315407828044854
광주광역시,광산구,임곡동,0.0,2239.0,2.0,0.0,3201.0,0.0,1480293.0,0.0015125383961148231,4.841635405963549
광주광역시,광산구,동곡동,0.0,2063.0,0.0,0.0,3201.0,0.0,1480293.0,0.0013936430152679234,4.461051291872622
광주광역시,광산구,평동,0.0,5412.0,0.0,0.0,3201.0,0.0,1480293.0,0.003656032961042172,11.702961508295992
광주광역시,광산구,삼도동,0.0,2354.0,1.0,0.0,3201.0,0.0,1480293.0,0.0015902257188272861,5.090312525966143
광주광역시,광산구,본량동,0.0,2117.0,0.0,0.0,3201.0,0.0,1480293.0,0.0014301222798459494,4.577821417786884
광주광역시,남구,양림동,0.0,7592.0,2.0,0.0,1627.0,0.0,1480293.0,0.005128714382895819,8.344418300971498
